0: CPU Microbenchmarks:
0: Inter-CPU Microbenchmarks will be run with the following:
0: # Processes per NUMA: 18
0: # Processes per socket: 18
0: # Processes per node: 72
0: # of nodes: 2
0: If these are incorrect, edit the defines at the top of benchmarks/microbenchmarks.cpp
0: intra-socket tests will not be run because there is only one NUMA per socket.  The timings will be gathered in inter-NUMA tests.
0: 
0: 
0: Running standard ping-pongs
0: 
0: On-NUMA Ping-Pong:
0: Size 134217728: 1.567640e-02
0: Size 268435456: 3.147077e-02
0: Size 536870912: 6.343113e-02
0: 
0: Active Procs: 2
0: Rank 0 sending to 36
0: Size 1: 4.284959e-06
0: Size 2: 4.284264e-06
0: Size 4: 4.287463e-06
0: Size 8: 4.278203e-06
0: Size 16: 4.195516e-06
0: Size 32: 4.296955e-06
0: Size 64: 4.473516e-06
0: Size 128: 4.498154e-06
0: Size 256: 6.351784e-06
0: Size 512: 7.045889e-06
0: Size 1024: 7.209794e-06
0: Size 2048: 7.233891e-06
0: Size 4096: 7.189397e-06
0: Size 8192: 6.822270e-06
0: Size 16384: 7.830356e-06
0: Size 32768: 7.588355e-06
0: Size 65536: 8.715815e-06
0: Size 131072: 1.099281e-05
0: Size 262144: 1.526577e-05
0: Size 524288: 2.971406e-05
0: Size 1048576: 6.253183e-05
0: Size 2097152: 1.178230e-04
0: Size 4194304: 2.268760e-04
0: Size 8388608: 7.715397e-04
0: Size 16777216: 3.246924e-03
0: Size 33554432: 5.066716e-03
0: Size 67108864: 1.193635e-02
0: Size 134217728: 2.329618e-02
0: Size 268435456: 5.237342e-02
0: Size 536870912: 1.046349e-01
0: 
0: Active Procs: 4
0: Rank 0 sending to 36
0: Size 1: 3.969464e-06
0: Size 2: 3.983977e-06
0: Size 4: 3.957712e-06
0: Size 8: 3.970926e-06
0: Size 16: 3.828556e-06
0: Size 32: 4.154878e-06
0: Size 64: 4.322203e-06
0: Size 128: 4.418632e-06
0: Size 256: 6.353751e-06
0: Size 512: 6.785408e-06
0: Size 1024: 6.946030e-06
0: Size 2048: 6.912109e-06
0: Size 4096: 6.776865e-06
0: Size 8192: 6.338081e-06
0: Size 16384: 6.940903e-06
0: Size 32768: 8.127942e-06
0: Size 65536: 9.240236e-06
0: Size 131072: 1.212252e-05
0: Size 262144: 1.582022e-05
0: Size 524288: 3.001637e-05
0: Size 1048576: 6.249793e-05
0: Size 2097152: 1.175052e-04
0: Size 4194304: 4.026767e-04
0: Size 8388608: 1.909707e-03
0: Size 16777216: 4.929898e-03
0: Size 33554432: 9.652016e-03
0: Size 67108864: 2.111068e-02
0: Size 134217728: 4.141945e-02
0: Size 268435456: 1.004127e-01
0: Size 536870912: 1.997128e-01
0: 
0: Active Procs: 8
0: Rank 0 sending to 36
0: Size 1: 4.283789e-06
0: Size 2: 4.292204e-06
0: Size 4: 4.301129e-06
0: Size 8: 4.307708e-06
0: Size 16: 4.252193e-06
0: Size 32: 4.386867e-06
0: Size 64: 4.570455e-06
0: Size 128: 4.572792e-06
0: Size 256: 6.552303e-06
0: Size 512: 6.623991e-06
0: Size 1024: 6.792941e-06
0: Size 2048: 6.948348e-06
0: Size 4096: 6.883251e-06
0: Size 8192: 6.742872e-06
0: Size 16384: 8.708538e-06
0: Size 32768: 9.234328e-06
0: Size 65536: 1.032687e-05
0: Size 131072: 1.256276e-05
0: Size 262144: 1.704408e-05
0: Size 524288: 2.963852e-05
0: Size 1048576: 6.270910e-05
0: Size 2097152: 1.174672e-04
0: Size 4194304: 3.900244e-04
0: Size 8388608: 1.962322e-03
0: Size 16777216: 5.506603e-03
0: Size 33554432: 1.201348e-02
0: Size 67108864: 2.899107e-02
0: Size 134217728: 5.656907e-02
0: Size 268435456: 1.666932e-01
0: Size 536870912: 3.335936e-01
0: 
0: Active Procs: 16
0: Rank 0 sending to 36
0: Size 1: 3.985181e-06
0: Size 2: 3.978622e-06
0: Size 4: 3.949803e-06
0: Size 8: 3.951634e-06
0: Size 16: 4.007727e-06
0: Size 32: 4.026863e-06
0: Size 64: 4.176121e-06
0: Size 128: 4.294922e-06
0: Size 256: 5.890304e-06
0: Size 512: 6.663536e-06
