0: CPU Microbenchmarks:
0: Inter-CPU Microbenchmarks will be run with the following:
0: # Processes per NUMA: 18
0: # Processes per socket: 18
0: # Processes per node: 72
0: # of nodes: 2
0: If these are incorrect, edit the defines at the top of benchmarks/microbenchmarks.cpp
0: intra-socket tests will not be run because there is only one NUMA per socket.  The timings will be gathered in inter-NUMA tests.
0: 
0: 
0: Running standard ping-pongs
0: 
0: On-NUMA Ping-Pong:
0: Size 4194304: 1.115891e-03
0: Size 8388608: 4.977654e-03
0: Size 16777216: 1.057877e-02
0: Size 33554432: 2.368866e-02
0: Size 67108864: 4.948846e-02
0: Size 134217728: 1.077560e-01
0: Size 268435456: 3.268142e-01
0: Size 536870912: 6.532929e-01
0: 
0: Active Procs: 32
0: Rank 0 sending to 36
0: Size 1: 3.803544e-06
0: Size 2: 3.805529e-06
0: Size 4: 3.813476e-06
0: Size 8: 3.808899e-06
0: Size 16: 3.771363e-06
0: Size 32: 4.017024e-06
0: Size 64: 4.414677e-06
0: Size 128: 4.314030e-06
0: Size 256: 5.976010e-06
0: Size 512: 6.528228e-06
0: Size 1024: 6.062218e-06
0: Size 2048: 6.186331e-06
0: Size 4096: 6.284363e-06
0: Size 8192: 6.285115e-06
0: Size 16384: 8.413551e-06
0: Size 32768: 8.620064e-06
0: Size 65536: 9.737805e-06
0: Size 131072: 1.125959e-05
0: Size 262144: 1.595700e-05
0: Size 524288: 2.915821e-05
0: Size 1048576: 6.280534e-05
0: Size 2097152: 1.211568e-04
0: Size 4194304: 1.231923e-03
0: Size 8388608: 5.559050e-03
0: Size 16777216: 1.215809e-02
0: Size 33554432: 2.578223e-02
0: Size 67108864: 5.654821e-02
0: Size 134217728: 1.193461e-01
0: Size 268435456: 3.474100e-01
0: Size 536870912: 6.959358e-01
0: 
0: Active Procs: 36
0: Rank 0 sending to 36
0: Size 1: 4.073412e-06
0: Size 2: 4.077686e-06
0: Size 4: 4.064765e-06
0: Size 8: 4.068636e-06
0: Size 16: 4.096862e-06
0: Size 32: 4.131900e-06
0: Size 64: 4.431724e-06
0: Size 128: 4.593031e-06
0: Size 256: 6.016330e-06
0: Size 512: 6.660462e-06
0: Size 1024: 6.820017e-06
0: Size 2048: 6.886003e-06
0: Size 4096: 6.819304e-06
0: Size 8192: 6.707824e-06
0: Size 16384: 8.822151e-06
0: Size 32768: 9.183246e-06
0: Size 65536: 1.033639e-05
0: Size 131072: 1.234610e-05
0: Size 262144: 1.679579e-05
0: Size 524288: 2.923736e-05
0: Size 1048576: 6.336349e-05
0: Size 2097152: 1.218752e-04
0: Size 4194304: 1.238452e-03
0: Size 8388608: 5.760385e-03
