0: CPU Microbenchmarks:
0: Inter-CPU Microbenchmarks will be run with the following:
0: # Processes per NUMA: 18
0: # Processes per socket: 18
0: # Processes per node: 72
0: # of nodes: 2
0: If these are incorrect, edit the defines at the top of benchmarks/microbenchmarks.cpp
0: intra-socket tests will not be run because there is only one NUMA per socket.  The timings will be gathered in inter-NUMA tests.
0: 
0: 
0: Running standard ping-pongs
0: 
0: On-NUMA Ping-Pong:
0: Size 4096: 6.351708e-06
0: Size 8192: 7.114040e-06
0: Size 16384: 8.316192e-06
0: Size 32768: 1.534017e-05
0: Size 65536: 1.835970e-05
0: Size 131072: 2.414504e-05
0: Size 262144: 3.462132e-05
0: Size 524288: 5.580701e-05
0: Size 1048576: 9.935192e-05
0: Size 2097152: 1.857126e-04
0: Size 4194304: 3.585080e-04
0: Size 8388608: 7.040312e-04
0: Size 16777216: 1.395195e-03
0: Size 33554432: 2.778072e-03
0: Size 67108864: 5.541144e-03
0: Size 134217728: 1.106934e-02
0: Size 268435456: 2.211808e-02
0: Size 536870912: 4.424681e-02
0: 
0: Active Procs: 2
0: Rank 0 sending to 72
0: Size 1: 4.395676e-06
0: Size 2: 4.374452e-06
0: Size 4: 4.375111e-06
0: Size 8: 4.373765e-06
0: Size 16: 4.378263e-06
0: Size 32: 4.384220e-06
0: Size 64: 4.373828e-06
0: Size 128: 5.482099e-06
0: Size 256: 5.730456e-06
0: Size 512: 5.787599e-06
0: Size 1024: 5.884966e-06
0: Size 2048: 6.098537e-06
0: Size 4096: 6.380717e-06
0: Size 8192: 7.147172e-06
0: Size 16384: 8.308359e-06
0: Size 32768: 1.583753e-05
0: Size 65536: 1.980730e-05
0: Size 131072: 2.578644e-05
0: Size 262144: 3.732893e-05
0: Size 524288: 5.799564e-05
0: Size 1048576: 1.038197e-04
0: Size 2097152: 1.925488e-04
0: Size 4194304: 3.724884e-04
0: Size 8388608: 7.318929e-04
0: Size 16777216: 1.452811e-03
0: Size 33554432: 2.905948e-03
0: Size 67108864: 5.795622e-03
0: Size 134217728: 1.165483e-02
0: Size 268435456: 2.342993e-02
0: Size 536870912: 4.754139e-02
0: 
0: Active Procs: 4
0: Rank 0 sending to 72
0: Size 1: 4.434566e-06
0: Size 2: 4.405593e-06
0: Size 4: 4.420384e-06
0: Size 8: 4.419300e-06
0: Size 16: 4.438370e-06
0: Size 32: 4.418658e-06
0: Size 64: 4.418254e-06
0: Size 128: 5.523207e-06
0: Size 256: 5.754468e-06
0: Size 512: 5.830328e-06
0: Size 1024: 5.914674e-06
0: Size 2048: 6.145260e-06
0: Size 4096: 6.467054e-06
0: Size 8192: 7.237702e-06
0: Size 16384: 8.547680e-06
0: Size 32768: 1.643072e-05
0: Size 65536: 2.088948e-05
0: Size 131072: 2.734719e-05
0: Size 262144: 4.502946e-05
0: Size 524288: 9.007581e-05
0: Size 1048576: 1.797526e-04
0: Size 2097152: 3.593399e-04
0: Size 4194304: 7.187099e-04
0: Size 8388608: 1.437605e-03
0: Size 16777216: 2.883880e-03
0: Size 33554432: 5.796883e-03
0: Size 67108864: 1.158784e-02
0: Size 134217728: 2.321512e-02
0: Size 268435456: 4.681460e-02
0: Size 536870912: 9.475645e-02
0: 
0: Active Procs: 8
0: Rank 0 sending to 72
0: Size 1: 4.566758e-06
0: Size 2: 4.544079e-06
0: Size 4: 4.534486e-06
0: Size 8: 4.533612e-06
0: Size 16: 4.568887e-06
0: Size 32: 4.542796e-06
0: Size 64: 4.551398e-06
0: Size 128: 5.609163e-06
0: Size 256: 5.830341e-06
0: Size 512: 5.890289e-06
0: Size 1024: 6.009847e-06
0: Size 2048: 6.262963e-06
0: Size 4096: 6.650424e-06
0: Size 8192: 7.502225e-06
0: Size 16384: 9.315434e-06
